"id" "pid" "Sex" "Race" "Age" "Time" "SES" "PreK" "District_Poverty" "Math" "Reading" "Science" "DCCS" "Numbers_Reversed" "Numbers_Reversed_.W.ability." "time" "time2"
10000041 10000041 "Male" "White" 66.87 "Fall kindergarten" 1.223 "center" 5 61.0786 73.0942 . 15 120 483 0 0
10000118 10000118 "Male" "White" 63.45 "Fall kindergarten" 1.015 "center" 13 38.9374 60.3557 . 18 106 448 0 0
10000131 10000131 "Female" "White" . "Fall kindergarten" 0.2251 . 45 . . . . . . 0 0
10000141 10000141 "Female" "White" 64.21 "Fall kindergarten" 1.614 "center" 36 39.9525 56.1395 . 16 98 435 0 0
10000181 10000181 "Male" "White" . "Fall kindergarten" 1.194 "center" . . . . . . . 0 0
10000207 10000207 "Female" "Hispanic" 71.54 "Fall kindergarten" . . 22 41.3798 63.2054 . 15 88 435 0 0
10000214 10000214 "Female" "White" 69.99 "Fall kindergarten" 0.8916 "center" 3 36.7179 56.1629 . 15 96 448 0 0
10000216 10000216 "Female" "White" 70.85 "Fall kindergarten" . . . 49.0384 67.2853 . 15 116 483 0 0
10000258 10000258 "Male" "White" 57.8 "Fall kindergarten" -0.318 "none" 24 19.2903 39.6194 . 15 . 403 0 0
10000298 10000298 "Male" "White" 66.64 "Fall kindergarten" 0.9403 "center" . 39.908 65.355 . 9 120 483 0 0
10000417 10000417 "Male" "other" . "Fall kindergarten" -0.79 "center" 11 . . . . . . 0 0
10000479 10000479 "Female" "Hispanic" 60.23 "Fall kindergarten" -0.848 "center" 28 17.6063 43.1189 . 14 . 403 0 0
10000561 10000561 "Male" "Asian" 69.73 "Fall kindergarten" 0.3445 "center" . 51.9397 56.5395 . 16 75 403 0 0
10000585 10000585 "Female" "White" . "Fall kindergarten" 0.4259 "center" . . . . . . . 0 0
10000623 10000623 "Female" "White" 63.88 "Fall kindergarten" -0.082 "non-relative" 10 32.3572 53.854 . 15 80 403 0 0
10000760 10000760 "Male" "White" 64.24 "Fall kindergarten" 0.7129 "center" . 26.3487 38.3594 . 13 80 403 0 0
10000772 10000772 "Female" "Hispanic" 67.43 "Fall kindergarten" 1.149 "center" . 33.439 61.5432 . 16 100 448 0 0
10000854 10000854 "Female" "White" 75.65 "Fall kindergarten" 0.1971 . . 32.4913 48.5037 . 14 71 410 0 0
10000902 10000902 "Male" "White" . "Fall kindergarten" 0.1284 "center" 12 . . . . . . 0 0
10000934 10000934 "Male" "Black" 64.24 "Fall kindergarten" -0.069 "center" 16 45.5076 50.869 . 15 80 403 0 0
10000959 10000959 "Female" "White" . "Fall kindergarten" 0.0347 "none" . . . . . . . 0 0
10001046 10001046 "Male" "White" . "Fall kindergarten" -0.426 "center" 19 . . . . . . 0 0
10001111 10001111 "Female" "White" 67.2 "Fall kindergarten" -0.75 "relative" 11 17.6983 41.3507 . 16 78 403 0 0
10001131 10001131 "Female" "White" 73.64 "Fall kindergarten" 1.64 "center" . 51.8697 69.6849 . 15 99 462 0 0
10001235 10001235 "Male" "Asian" 69.14 "Fall kindergarten" . . . 46.9982 57.786 . 15 110 470 0 0
10001258 10001258 "Male" "other" 59.74 "Fall kindergarten" . . 18 24.4413 40.0136 . 15 . 403 0 0
10001315 10001315 "Female" "White" . "Fall kindergarten" -0.511 "none" 12 . . . . . . 0 0
10001456 10001456 "Male" "Hispanic" 63.19 "Fall kindergarten" -0.043 "center" 28 34.5434 51.5872 . 13 113 462 0 0
10001546 10001546 "Female" "Hispanic" 67.76 "Fall kindergarten" -1.01 "none" 45 18.4248 50.8709 . 15 77 403 0 0
10001684 10001684 "Female" "White" 70.26 "Fall kindergarten" 0.7181 "center" 4 40.6893 57.0831 . 17 75 403 0 0
10001685 10001685 "Male" "White" 72.59 "Fall kindergarten" -0.164 "relative" 27 30.5604 43.8575 . 15 71 403 0 0
10001725 10001725 "Female" "White" 68.52 "Fall kindergarten" -0.673 "center" 26 40.2696 45.6864 . 17 98 448 0 0
10001751 10001751 "Male" "White" 65.46 "Fall kindergarten" -0.79 "center" 26 26.8824 38.7756 . 14 96 435 0 0
10001826 10001826 "Male" "Hispanic" 74.17 "Fall kindergarten" -1.14 "center" 32 17.3621 43.5631 . 15 70 403 0 0
10001859 10001859 "Female" "Asian" . "Fall kindergarten" 0.3595 "relative" 12 . . . . . . 0 0
10001938 10001938 "Female" "Hispanic" 62.96 "Fall kindergarten" -0.521 "center" 27 34.1822 52.2362 . 15 81 403 0 0
10002058 10002058 "Female" "Black" 70.26 "Fall kindergarten" . . 10 40.452 58.4002 . 6 86 426 0 0
10002091 10002091 "Female" "White" 67.36 "Fall kindergarten" -0.331 "center" 24 23.69 45.277 . 14 78 403 0 0
10002203 10002203 "Female" "White" 62.43 "Fall kindergarten" 1.266 "center" 10 31.2767 61.4018 . 15 101 435 0 0
10002242 10002242 "Female" "White" 58.68 "Fall kindergarten" . . 16 27.9202 44.1673 . 14 . 403 0 0
10002324 10002324 "Female" "other" 68.35 "Fall kindergarten" 0.215 "relative" 12 29.861 42.866 . 14 77 403 0 0
10002392 10002392 "Female" "Hispanic" . "Fall kindergarten" 0.0448 "center" . . . . . . . 0 0
10002533 10002533 "Male" "White" 69.24 "Fall kindergarten" -0.978 "non-relative" 24 41.6661 60.4405 . 15 76 403 0 0
10002549 10002549 "Male" "Black" 69.6 "Fall kindergarten" -0.686 "none" 25 26.8432 47.3001 . 15 75 403 0 0
10002552 10002552 "Female" "Hispanic" 62.93 "Fall kindergarten" -0.734 "none" 16 28.6286 42.8617 . 14 81 403 0 0
10002610 10002610 "Male" "White" . "Fall kindergarten" 0.6137 "center" 3 . . . . . . 0 0
10002622 10002622 "Male" "Black" 72.62 "Fall kindergarten" . . . 30.2206 47.9859 . 14 71 403 0 0
10002744 10002744 "Female" "Black" 63.39 "Fall kindergarten" -0.453 "none" . 23.276 44.5729 . 6 81 403 0 0
10002902 10002902 "Female" "White" 71.54 "Fall kindergarten" -0.518 "none" 15 30.2673 53.9401 . 15 94 448 0 0
10002934 10002934 "Female" "Asian" 65.33 "Fall kindergarten" 0.6596 "center" 8 19.6695 46.9808 . 15 80 403 0 0
10002948 10002948 "Male" "White" 70.95 "Fall kindergarten" -0.423 "center" 22 37.3814 56.8162 . 17 102 462 0 0
10002949 10002949 "Male" "Hispanic" 69.8 "Fall kindergarten" -0.488 "center" 10 27.4052 41.1706 . 15 75 403 0 0
10003000 10003000 "Female" "Hispanic" . "Fall kindergarten" -0.432 "relative" 23 . . . . . . 0 0
10003048 10003048 "Male" "White" 68.88 "Fall kindergarten" . . 30 29.5319 52.5015 . 15 76 403 0 0
10003176 10003176 "Female" "White" 69.6 "Fall kindergarten" -0.006 "center" 15 38.8829 55.0686 . 13 113 476 0 0
10003242 10003242 "Male" "White" . "Fall kindergarten" . . 15 . . . . . . 0 0
10003251 10003251 "Female" "Hispanic" 66.05 "Fall kindergarten" -0.793 "center" 32 17.7518 39.6073 . 17 79 403 0 0
10003286 10003286 "Female" "other" 62.7 "Fall kindergarten" -0.77 "center" 36 31.1598 63.3435 . 6 81 403 0 0
10003385 10003385 "Female" "White" 63.98 "Fall kindergarten" -0.528 "relative" 26 22.0456 40.5479 . 15 105 448 0 0
10003496 10003496 "Male" "White" 66.58 "Fall kindergarten" -0.58 "none" . 44.0497 52.0111 . 18 94 435 0 0
10003541 10003541 "Male" "other" 65.36 "Fall kindergarten" -0.75 "center" 23 32.8527 41.3287 . 16 80 403 0 0
10003613 10003613 "Male" "White" 65.72 "Fall kindergarten" -0.605 "none" 23 48.0254 42.2394 . 14 118 476 0 0
10003623 10003623 "Female" "White" 62.47 "Fall kindergarten" -0.048 "center" 14 41.3566 71.4435 . 15 118 470 0 0
10003798 10003798 "Male" "White" 62.47 "Fall kindergarten" -0.944 "relative" 22 21.357 48.1038 . 7 . 403 0 0
10003960 10003960 "Female" "White" 69.21 "Fall kindergarten" -0.844 "none" 3 33.3759 47.9675 . 14 76 403 0 0
10003991 10003991 "Female" "White" 72.2 "Fall kindergarten" 0.0776 "none" 19 35.4814 60.0826 . 18 94 448 0 0
10004130 10004130 "Male" "Hispanic" 63.95 "Fall kindergarten" 0.0943 "center" 16 29.9743 43.3219 . 16 80 403 0 0
10004135 10004135 "Male" "Black" . "Fall kindergarten" 0.0426 . 20 . . . . . . 0 0
10004232 10004232 "Female" "Hispanic" 68.94 "Fall kindergarten" -0.152 "non-relative" 41 35.347 59.0145 . 14 80 410 0 0
10004234 10004234 "Male" "other" 63.12 "Fall kindergarten" 0.9662 . . 23.3534 43.3372 . 13 81 403 0 0
10004265 10004265 "Female" "Black" 70.26 "Fall kindergarten" 0.0388 "relative" 10 25.8854 44.4639 . 15 75 403 0 0
10004267 10004267 "Male" "White" 72.95 "Fall kindergarten" -0.795 "center" 31 27.7779 48.044 . 16 71 403 0 0
10004324 10004324 "Male" "White" 71.11 "Fall kindergarten" -0.844 "center" 31 48.6789 60.2163 . 14 108 470 0 0
10004346 10004346 "Female" "Black" 74.66 "Fall kindergarten" -1.02 "center" 38 51.3557 65.9111 . 14 112 483 0 0
10004377 10004377 "Male" "White" 66.18 "Fall kindergarten" -0.819 "center" . 40.1554 54.321 . 17 102 448 0 0
10004389 10004389 "Female" "White" 70.85 "Fall kindergarten" 0.8692 "center" . 36.5645 55.3893 . 16 74 403 0 0
10004399 10004399 "Male" "White" 67.63 "Fall kindergarten" 2.011 "center" 25 35.3606 51.8895 . 6 88 426 0 0
10004591 10004591 "Female" "Black" 63.58 "Fall kindergarten" . . 38 20.2611 40.9295 . 8 80 403 0 0
10004733 10004733 "Female" "Hispanic" 71.28 "Fall kindergarten" -0.662 "none" 17 28.3632 49.649 . 15 74 403 0 0
10004767 10004767 "Male" "White" 65.33 "Fall kindergarten" -0.165 "center" . 49.4559 52.0815 . 7 103 448 0 0
10004824 10004824 "Female" "Hispanic" 70.32 "Fall kindergarten" . . 31 33.4296 46.8645 . 16 75 403 0 0
10004837 10004837 "Male" "White" . "Fall kindergarten" 0.9711 "center" 5 . . . . . . 0 0
10004843 10004843 "Male" "Hispanic" . "Fall kindergarten" -1.25 "none" 38 . . . . . . 0 0
10004849 10004849 "Male" "White" 74.2 "Fall kindergarten" 0.1634 "center" 15 51.5787 74.0642 . 17 104 470 0 0
10004872 10004872 "Male" "other" 63.62 "Fall kindergarten" -0.066 "center" 13 13.3123 39.4163 . 15 80 403 0 0
10004974 10004974 "Female" "Hispanic" . "Fall kindergarten" 0.0094 "relative" 19 . . . . . . 0 0
10004988 10004988 "Male" "White" 73.91 "Fall kindergarten" -0.592 "none" 38 33.9333 56.7331 . 15 70 403 0 0
10005035 10005035 "Male" "White" 74.66 "Fall kindergarten" -1.56 "center" 15 43.8052 58.5601 . 16 91 448 0 0
10005386 10005386 "Male" "Black" 60.46 "Fall kindergarten" -0.047 "relative" 28 41.1586 56.975 . 15 116 462 0 0
10005504 10005504 "Male" "White" 65.88 "Fall kindergarten" 0.2353 "center" 12 51.7742 68.5921 . 18 109 462 0 0
10005524 10005524 "Male" "Asian" . "Fall kindergarten" 1.194 . 12 . . . . . . 0 0
10005571 10005571 "Male" "Black" 66.64 "Fall kindergarten" -0.265 "relative" 31 25.1749 49.8179 . 15 82 410 0 0
10005787 10005787 "Male" "Hispanic" 68.09 "Fall kindergarten" -0.565 "none" 37 28.3353 49.706 . 15 77 403 0 0
10005868 10005868 "Female" "Black" 65.26 "Fall kindergarten" -1.09 "relative" 23 17.209 40.1657 . 13 80 403 0 0
10005897 10005897 "Male" "White" 60.46 "Fall kindergarten" 0.3114 "center" 13 18.8358 44.2443 . 5 . 403 0 0
10005906 10005906 "Female" "Asian" 70.95 "Fall kindergarten" -0.449 "center" 15 34.4711 49.6901 . 15 108 470 0 0
10006060 10006060 "Male" "White" 61.71 "Fall kindergarten" . . 10 25.0605 45.4997 . 16 . 403 0 0
10006076 10006076 "Male" "White" . "Fall kindergarten" -0.049 "center" 34 . . . . . . 0 0
10006090 10006090 "Male" "other" 64.93 "Fall kindergarten" -0.075 "none" 32 26.8394 43.1997 . 14 80 403 0 0
10006287 10006287 "Male" "Hispanic" . "Fall kindergarten" . . 25 . . . . . . 0 0
10006334 10006334 "Male" "Hispanic" 70.06 "Fall kindergarten" -0.761 "none" 18 25.2778 42.693 . 6 75 403 0 0
10006407 10006407 "Male" "Hispanic" 65.16 "Fall kindergarten" 0.0362 "none" 51 34.1757 48.0382 . 13 115 470 0 0
10006512 10006512 "Male" "White" 75.48 "Fall kindergarten" -0.845 "none" 31 35.9043 49.7134 . 14 98 462 0 0
10006540 10006540 "Male" "Black" 64.37 "Fall kindergarten" . . 38 20.4325 47.9404 . 14 80 403 0 0
10006601 10006601 "Male" "White" . "Fall kindergarten" 0.8701 "center" . . . . . . . 0 0
10006602 10006602 "Male" "other" 69.21 "Fall kindergarten" -0.83 "none" 22 27.6609 53.5022 . 15 110 470 0 0
10006605 10006605 "Male" "other" . "Fall kindergarten" -0.673 "none" 20 . . . . . . 0 0
