"id","Sex","Race","SES","PreK","District_Poverty","Math_0","Math_0.5","Math_1","Math_1.5","Math_2","Math_2.5","Math_3.5","Math_4.5","Math_5.5","Reading_0","Reading_0.5","Reading_1","Reading_1.5","Reading_2","Reading_2.5","Reading_3.5","Reading_4.5","Reading_5.5","Science_0.5","Science_1","Science_1.5","Science_2","Science_2.5","Science_3.5","Science_4.5","Science_5.5","DCCS_0","DCCS_0.5","DCCS_1","DCCS_1.5","DCCS_2","DCCS_2.5","DCCS_3.5","DCCS_4.5","DCCS_5.5","Numbers_Reversed_0","Numbers_Reversed_0.5","Numbers_Reversed_1","Numbers_Reversed_1.5","Numbers_Reversed_2","Numbers_Reversed_2.5","Numbers_Reversed_3.5","Numbers_Reversed_4.5","Numbers_Reversed_5.5","Numbers_Reversed_(W-ability)_0","Numbers_Reversed_(W-ability)_0.5","Numbers_Reversed_(W-ability)_1","Numbers_Reversed_(W-ability)_1.5","Numbers_Reversed_(W-ability)_2","Numbers_Reversed_(W-ability)_2.5","Numbers_Reversed_(W-ability)_3.5","Numbers_Reversed_(W-ability)_4.5","Numbers_Reversed_(W-ability)_5.5"
"10000041","Male","White",1.223,"center",5,61.0786,77.5583,NA,103.9444,NA,NA,NA,NA,NA,73.0942,107.7712,NA,111.7527,NA,NA,NA,NA,NA,43.2846,NA,47.4515,NA,NA,NA,NA,NA,15,17,NA,17,NA,NA,NA,NA,NA,120,120,NA,110,NA,NA,NA,NA,NA,483,489,NA,489,NA,NA,NA,NA,NA
"10000118","Male","White",1.015,"center",13,38.9374,58.5958,NA,76.79,NA,87.5566,105.907,NA,NA,60.3557,83.1573,NA,120.2012,NA,116.7331,134.0674,NA,NA,28.2578,NA,53.2728,NA,66.4283,75.7993,NA,NA,18,15,NA,17,NA,7.5626,7.4933,NA,NA,106,115,NA,112,NA,104,103,NA,NA,448,476,NA,489,NA,489,496,NA,NA
"10000131","Female","White",0.2251,NA,45,NA,NA,58.266,90.4597,89.8326,93.1595,120.0982,NA,NA,NA,NA,85.3657,111.7859,120.5484,125.2486,128.0527,NA,NA,NA,40.0949,57.8901,52.1126,56.0202,69.916,NA,NA,NA,NA,18,17,6.7104,7.9005,6.7426,NA,NA,NA,NA,108,108,110,117,100,NA,NA,NA,NA,483,489,496,509,496,NA,NA
"10000141","Female","White",1.614,"center",36,39.9525,52.4021,NA,72.5246,NA,98.7591,97.516,111.0056,137.572,56.1395,67.1446,NA,111.4931,NA,126.2584,125.332,139.9927,145.3934,36.7397,NA,51.034,NA,61.1729,63.9478,84.6481,89.5645,16,17,NA,17,NA,7.3773,7.9429,8.14629999999999,8.6229,98,98,NA,96,NA,98,83,71,83,435,448,NA,470,NA,483,470,462,483
"10000181","Male","White",1.194,"center",NA,NA,64.613,68.8085,73.6981,81.0626999999999,88.3659,105.2355,116.8129,124.1041,NA,85.4093,95.1871999999999,117.2649,123.5137,118.3591,131.5734,129.4073,149.5327,43.3007,34.9486,53.1259,44.6443,43.2904,64.3969,64.9224,60.1785,NA,17,16,18,6.1053,7.1589,6.6853,7.4098,6.1829,NA,100,79,89,91,92,83,93,99,NA,476,448,470,476,483,476,496,509
"10000207","Female","Hispanic",NA,NA,22,41.3798,52.4723,NA,63.8277,NA,95.5163,120.7877,123.792,128.3307,63.2054,91.4914,NA,103.5188,NA,115.4246,130.7766,135.2801,150.8449,31.9136,NA,37.4681,NA,60.4565,69.3503,76.3739,87.931,15,17,NA,18,NA,7.2657,7.6387,7.5131,7.6733,88,105,NA,78,NA,79,93,79,79,435,476,NA,448,NA,462,489,476,483
"10000214","Female","White",0.8916,"center",3,36.7179,49.2516,54.9076,68.8931,75.7476,95.5922,102.3193,117.5539,130.5123,56.1629,68.5548,70.5128,90.3875999999999,97.4209,115.9315,120.2118,117.2844,133.2562,37.5909,45.2018,45.5713,47.0471,53.9582,67.9612,65.7358,81.2126,15,17,18,17,7.6061,6.1467,9.2545,8.23769999999999,9.125,96,90,86,80,104,71,95,89,85,448,448,448,448,489,448,489,489,489
"10000216","Female","White",NA,NA,NA,49.0384,56.1627,NA,81.1437,NA,101.9614,107.5355,113.841,124.5471,67.2853,75.6644,NA,98.6367,NA,114.2626,133.5419,135.1211,137.2288,43.1909,NA,50.3642,NA,58.9026,66.5264,65.461,75.655,15,14,NA,18,NA,7.6432,7.6139,8.6635,8.64119999999999,116,73,NA,96,NA,125,99,94,100,483,419,NA,476,NA,522,496,496,509
"10000258","Male","White",-0.318,"none",24,19.2903,22.0596,NA,NA,NA,NA,NA,NA,NA,39.6194,44.7073,NA,NA,NA,NA,NA,NA,NA,29.076,NA,NA,NA,NA,NA,NA,NA,15,18,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,403,403,NA,NA,NA,NA,NA,NA,NA
"10000298","Male","White",0.9403,"center",NA,39.908,48.5828,NA,NA,NA,NA,NA,NA,NA,65.355,64.9929,NA,NA,NA,NA,NA,NA,NA,28.1427,NA,NA,NA,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,NA,NA,120,94,NA,NA,NA,NA,NA,NA,NA,483,448,NA,NA,NA,NA,NA,NA,NA
